"","Item1","Item2","Q3"
"194","X8128","X8174",0.341271660242734
"15","X8086","X8099",0.339612563361788
"56","X8106","X8125",0.337083083154428
"76","X8121","X8130",0.336595554202779
"38","X8084","X8117",0.336135287796441
"113","X8098","X8148",0.334905064499025
"46","X8112","X8119",0.334876908739435
"157","X8086","X8165",0.332276705056811
"233","X8083","X8181",0.331021452292454
"180","X8081","X8169",0.330817734806438
"156","X8131","X8164",0.330590961014943
"215","X8130","X8177",0.329933632437742
"227","X8154","X8179",0.329614869911559
"197","X8169","X8174",0.329076823757627
"198","X8087","X8175",0.327707609830129
"145","X8152","X8162",0.321692143687542
"237","X8081","X8182",0.321356764926643
"142","X8096","X8161",0.315038079204013
"161","X8140","X8165",0.308889172389513
"63","X8092","X8127",0.308038350541811
"96","X8107","X8138",0.307382841877658
"45","X8084","X8119",0.306659082459195
"203","X8138","X8175",0.304570559617888
"133","X8086","X8158",0.302242134600477
"7","X8091","X8092",0.301840731938348
"232","X8167","X8180",0.301183936735078
"1","X8076","X8081",0.300359217282008
"70","X8089","X8128",0.299407069549286
"188","X8081","X8173",0.299003009840118
"172","X8125","X8167",0.298966576756136
"98","X8114","X8138",0.298606877587595
"223","X8147","X8178",0.297599150764581
"217","X8153","X8177",0.295792443936183
"174","X8146","X8167",0.294474114650398
"212","X8167","X8176",0.292661650105229
"99","X8127","X8138",0.292377561287917
"164","X8125","X8166",0.291179632928379
"185","X8128","X8169",0.29103210360802
"119","X8105","X8152",0.290096625742765
"9","X8073","X8095",0.289664591996191
"41","X8106","X8117",0.286533865927316
"91","X8123","X8135",0.286353548945451
"4","X8081","X8089",0.286162614732943
"69","X8081","X8128",0.285907228325966
"167","X8084","X8167",0.285345936410487
"204","X8080","X8176",0.284808932984837
"108","X8080","X8146",0.284395001719435
"168","X8101","X8167",0.284233232924311
"95","X8105","X8138",0.281315330356957
"230","X8146","X8180",0.280086540537552
"193","X8111","X8174",0.279010182230372
"114","X8135","X8148",0.278218116533376
"67","X8074","X8128",0.277925262127732
"65","X8111","X8127",0.277889082581004
"160","X8133","X8165",0.276977287655983
"74","X8093","X8130",0.276560557327039
"191","X8074","X8174",0.272167748154688
"85","X8125","X8131",0.272121289835322
"52","X8104","X8124",0.271470699409852
"200","X8105","X8175",0.270397583502787
"135","X8099","X8158",0.269420592925887
"151","X8106","X8164",0.268443230210969
"121","X8127","X8152",0.267722804171928
"179","X8165","X8168",0.267312302564937
"92","X8107","X8137",0.267094449874583
"236","X8076","X8182",0.265919966461558
"17","X8095","X8100",0.264682196752833
"97","X8111","X8138",0.263705917899026
"187","X8083","X8172",0.263691984011679
"195","X8142","X8174",0.26201106656344
"6","X8087","X8092",0.261374417694854
"192","X8089","X8174",0.261071836057912
"104","X8133","X8143",0.260703279052361
"144","X8105","X8162",0.259769367098581
"66","X8114","X8127",0.259009487620707
"134","X8090","X8158",0.25875366938976
"138","X8090","X8159",0.258346714136726
"137","X8133","X8158",0.258256296922618
"94","X8092","X8138",0.257427923682429
"184","X8111","X8169",0.257136727521922
"242","X8094","X8183",0.256505210182089
"34","X8087","X8114",0.256405967308073
"30","X8084","X8112",0.255685823083903
"109","X8112","X8146",0.255159214732012
"207","X8117","X8176",0.25505889524459
"71","X8111","X8128",0.255046596944204
"13","X8075","X8098",0.254482123850397
"128","X8096","X8155",0.254336291928153
"238","X8082","X8182",0.254016040596745
"239","X8101","X8182",0.253454377256097
"214","X8121","X8177",0.252909131325465
"199","X8092","X8175",0.252781544985738
"88","X8099","X8133",0.251060636011254
"68","X8076","X8128",0.249174493163871
"27","X8089","X8111",0.249085783113765
"5","X8087","X8091",0.248144575093932
"122","X8121","X8153",0.2473928140252
"120","X8114","X8152",0.246885313859318
"36","X8076","X8115",0.246158055851213
"20","X8073","X8104",0.245231057136129
"224","X8163","X8178",0.245209788495019
"131","X8152","X8156",0.244869059666683
"64","X8105","X8127",0.243577116959302
"178","X8140","X8168",0.24177707064323
"23","X8080","X8106",0.241374006846985
"24","X8088","X8109",0.240798307893406
"35","X8074","X8115",0.239974586305255
"218","X8158","X8177",0.238677194735828
"21","X8087","X8105",0.238498771188948
"130","X8153","X8155",0.236810513828541
"139","X8152","X8159",0.235494533534478
"231","X8164","X8180",0.235287707380311
"101","X8086","X8143",0.233173900965196
"177","X8096","X8168",0.232159888463773
"48","X8081","X8120",0.230592596241283
"16","X8094","X8100",0.229066119138356
"112","X8094","X8148",0.228956132401512
"240","X8131","X8182",0.228641153561164
"235","X8111","X8181",0.227344132900846
"90","X8129","X8134",0.227287606322182
"50","X8093","X8121",0.2264016862445
"201","X8107","X8175",0.226150485192797
"115","X8146","X8148",0.225060628137442
"2","X8081","X8082",0.223345657982537
"182","X8091","X8169",0.221494550164755
"80","X8084","X8131",0.220081553104855
"49","X8093","X8120",0.218023653247682
"124","X8132","X8153",0.21793591009014
"43","X8071","X8119",0.217831272601579
"40","X8101","X8117",0.217056638951629
"32","X8106","X8112",0.216679753647671
"77","X8071","X8131",0.216673979131881
"244","X8167","X8183",0.216668336556614
"183","X8100","X8169",0.215691226844649
"22","X8091","X8105",0.215357618730625
"117","X8114","X8150",0.214760496731762
"102","X8093","X8143",0.214261962037561
"140","X8085","X8161",0.213824168254702
"220","X8130","X8178",0.213559311112126
"55","X8101","X8125",0.213297906139306
"241","X8166","X8182",0.213292067803511
"146","X8156","X8162",0.213266692863604
"216","X8131","X8177",0.213230882948093
"118","X8137","X8150",0.212871403878348
"243","X8103","X8183",0.212378620740358
"100","X8088","X8140",0.212110521961967
"196","X8160","X8174",0.211580522787346
"226","X8107","X8179",0.211380570378309
"176","X8083","X8168",0.210687311278021
"189","X8145","X8173",0.210586999396239
"33","X8093","X8113",0.210285914896152
"14","X8093","X8098",0.210025343800094
"150","X8101","X8164",0.209802088292647
"86","X8130","X8132",0.208129828026386
"89","X8074","X8134",0.208103790200621
"158","X8099","X8165",0.207819607869875
"219","X8123","X8178",0.207484057529273
"186","X8098","X8170",0.207119153907048
"61","X8109","X8126",0.206966541058985
"228","X8161","X8179",0.206911649357465
"143","X8091","X8162",0.206261087911517
"234","X8105","X8181",0.206147910891121
"73","X8102","X8129",0.206067432670697
"11","X8086","X8096",0.205780365471383
"75","X8113","X8130",0.205677686938866
"147","X8135","X8163",0.20513366052424
"225","X8176","X8178",0.203847658954605
"60","X8076","X8126",0.203740488993561
"39","X8093","X8117",0.203732054402601
"208","X8125","X8176",0.202795867476814
"107","X8119","X8145",0.20234547031815
"190","X8166","X8173",0.201893626859452
"129","X8129","X8155",0.201577369440781
"103","X8099","X8143",0.201388997781188
"111","X8122","X8147",0.201132983515525
"159","X8102","X8165",0.201033295399396
"127","X8152","X8154",0.200889287013757
"78","X8076","X8131",0.200689012403552
"210","X8164","X8176",0.200654818420224
"132","X8079","X8158",0.200190867981088
"72","X8085","X8129",0.200050276463729
