"","Item1","Item2","Q3"
"64","X7961","X8011",0.30870378903976
"133","X8025","X8035",0.308354919836508
"85","X8006","X8019",0.308265526160835
"124","X8031","X8032",0.306044037178925
"143","X8032","X8036",0.30538446493128
"246","X7993","X8068",0.305165496784969
"249","X8026","X8068",0.302936775226056
"2","X7963","X7967",0.302195216130508
"176","X7993","X8043",0.30121035374638
"100","X8006","X8026",0.300628862693563
"139","X8006","X8036",0.299816948673027
"136","X7979","X8036",0.298903296639719
"172","X7994","X8042",0.298367731196833
"68","X7989","X8011",0.297982593227774
"221","X7964","X8060",0.297972304258149
"223","X8009","X8060",0.297972304258149
"41","X7967","X7999",0.294386594570628
"163","X8032","X8040",0.294143039112258
"217","X8011","X8058",0.291741625901686
"16","X7970","X7984",0.291529241376092
"259","X8067","X8069",0.289940044556498
"1","X7960","X7966",0.287602480061766
"3","X7965","X7970",0.286457639881349
"165","X7970","X8041",0.285837382285784
"8","X7964","X7978",0.285699338379612
"63","X7978","X8009",0.285699338379612
"209","X7970","X8056",0.285520451056456
"228","X7988","X8062",0.285464831914124
"57","X7972","X8007",0.285357927369249
"238","X7963","X8067",0.284882100103794
"149","X8006","X8038",0.283920908716829
"137","X7993","X8036",0.283757625670314
"54","X7994","X8004",0.283726618493272
"190","X7999","X8047",0.282542926062125
"200","X8032","X8051",0.282249792580257
"248","X8019","X8068",0.281899147149511
"162","X8031","X8040",0.281745682772181
"153","X8036","X8038",0.280799927931457
"233","X8033","X8063",0.280539936562023
"227","X7967","X8062",0.278695210548489
"135","X8030","X8035",0.278624387812582
"84","X7998","X8019",0.278138051505398
"204","X8012","X8053",0.277151693044481
"207","X7964","X8055",0.276181261219596
"208","X8009","X8055",0.276181261219596
"110","X7974","X8030",0.275212983157694
"170","X7984","X8042",0.274861050158469
"66","X7981","X8011",0.274132377749662
"164","X8039","X8040",0.270384771745825
"49","X7961","X8004",0.267783812225299
"185","X8002","X8044",0.267216261985668
"241","X8002","X8067",0.266090553505534
"247","X7998","X8068",0.264901355948375
"56","X7998","X8006",0.263908985881937
"23","X7961","X7989",0.263707443866685
"103","X7984","X8027",0.263661881403628
"93","X7977","X8024",0.262052605827148
"196","X7958","X8050",0.261893402047983
"201","X8043","X8051",0.259433377442302
"97","X7979","X8026",0.25914149331507
"28","X7981","X7989",0.258940098699665
"39","X7962","X7997",0.258549246216753
"155","X7979","X8039",0.257737716764087
"184","X7988","X8044",0.257507667550802
"9","X7971","X7978",0.256194673838526
"203","X8008","X8053",0.255128316560551
"239","X7967","X8067",0.254925865399116
"151","X8032","X8038",0.253470291706171
"20","X7974","X7986",0.252564734905137
"108","X7976","X8028",0.252452836948508
"212","X8028","X8056",0.252432198131048
"116","X8026","X8031",0.251567912851826
"181","X8039","X8043",0.251403989803858
"234","X8041","X8063",0.247801629326868
"134","X8028","X8035",0.246618274376871
"237","X8044","X8065",0.246047478952877
"157","X8036","X8039",0.246015325878402
"230","X8002","X8062",0.245462293853886
"104","X7989","X8027",0.245265950426583
"177","X8026","X8043",0.244849889045568
"222","X7978","X8060",0.244779009415732
"214","X7984","X8058",0.244776048260198
"73","X7972","X8013",0.244752502268507
"141","X8026","X8036",0.244003789192423
"131","X7976","X8035",0.243707771719927
"219","X8047","X8058",0.242961307606265
"144","X7976","X8037",0.242522482920921
"86","X7986","X8020",0.241826764996765
"142","X8031","X8036",0.24069204909623
"74","X7985","X8013",0.24049103463196
"45","X7963","X8002",0.239657160581032
"48","X7977","X8003",0.239530697198313
"226","X7963","X8062",0.239087175365793
"101","X8019","X8026",0.238842332456567
"173","X8011","X8042",0.238771973131798
"21","X7963","X7988",0.238510362224084
"55","X7993","X8006",0.237603529383021
"60","X7999","X8008",0.237102216478016
"7","X7970","X7977",0.23625578083711
"30","X7966","X7993",0.23464912734836
"218","X8027","X8058",0.234301702468268
"102","X7961","X8027",0.233660959456816
"91","X7985","X8023",0.233331770539517
"152","X8035","X8038",0.2323626594844
"13","X7978","X7983",0.231488478175289
"80","X7962","X8018",0.231447632060801
"77","X7997","X8015",0.230472275240818
"195","X8037","X8049",0.229959456867544
"180","X8036","X8043",0.228992882994204
"70","X7999","X8011",0.228946090656975
"193","X7976","X8049",0.228827561691516
"81","X7996","X8018",0.228176412902684
"19","X7960","X7986",0.227566061460188
"192","X8027","X8047",0.227038029142924
"37","X7958","X7995",0.226790536420904
"252","X8036","X8068",0.226423229549261
"183","X7967","X8044",0.225753420689564
"225","X7987","X8061",0.22439316400565
"95","X7976","X8025",0.224262192787023
"197","X7962","X8050",0.224198104186043
"127","X8008","X8034",0.223961244741899
"113","X7966","X8031",0.22348424069765
"154","X7966","X8039",0.223023943286871
"220","X8053","X8058",0.222613540564774
"129","X8012","X8034",0.222380274068977
"25","X7969","X7989",0.222206133363305
"75","X8000","X8013",0.222082588623101
"71","X7988","X8012",0.220822815931908
"191","X8011","X8047",0.22079148063149
"186","X8008","X8044",0.219996192511252
"112","X8020","X8030",0.219884392220025
"107","X7974","X8028",0.219792280431272
"89","X7986","X8022",0.219774245385905
"244","X8065","X8067",0.219752134722782
"202","X7963","X8053",0.21934771557476
"167","X7966","X8042",0.21884688330579
"83","X7993","X8019",0.218654460512152
"69","X7994","X8011",0.218626486765959
"59","X7990","X8008",0.217542704739213
"199","X8026","X8051",0.217143701867523
"126","X7997","X8034",0.2168970432185
"145","X7986","X8037",0.216230484716155
"6","X7974","X7976",0.216018277705694
"115","X7998","X8031",0.215930701156476
"51","X7981","X8004",0.21558101724573
"87","X7960","X8022",0.215032070000964
"46","X7988","X8002",0.21426501066278
"52","X7984","X8004",0.213988321192582
"42","X7984","X7999",0.213648556940913
"98","X7993","X8026",0.213073227092496
"256","X7967","X8069",0.213057177878756
"194","X8030","X8049",0.212860207568626
"198","X7979","X8051",0.212462407246793
"78","X7995","X8016",0.211697673117145
"79","X8001","X8016",0.211581393970777
"106","X8012","X8027",0.210880194850051
"188","X8019","X8046",0.210438921884632
"260","X8041","X8070",0.21023868031771
"43","X7990","X7999",0.210221206220965
"236","X8058","X8064",0.209248998139397
"58","X8000","X8007",0.20910148241889
"161","X8016","X8040",0.209010065438705
"255","X8051","X8068",0.208912451920069
"187","X8022","X8045",0.208093008585593
"216","X8008","X8058",0.20795233037737
"257","X8044","X8069",0.207699724881294
"206","X7993","X8054",0.207668829651052
"90","X7970","X8023",0.207227716110566
"189","X7980","X8047",0.206753025897507
"114","X7993","X8031",0.206565184860652
"128","X8011","X8034",0.206526055005001
"159","X7979","X8040",0.205790328497973
"146","X8028","X8037",0.205458614287817
"118","X7979","X8032",0.20513899653847
"229","X7999","X8062",0.204194285489604
"22","X7967","X7988",0.203934971781872
"175","X7979","X8043",0.203827942824488
"94","X7992","X8024",0.202975164791665
"76","X7960","X8014",0.202871911818274
"72","X7958","X8013",0.20284234138799
"31","X7979","X7993",0.202780731144634
"82","X7979","X8019",0.202566876582362
"147","X7993","X8038",0.202271820815999
"120","X7998","X8032",0.201757628587843
"132","X8021","X8035",0.201600399007339
"38","X7969","X7996",0.201583628610308
"235","X7984","X8064",0.20158347590529
"224","X8023","X8060",0.201510404772923
"96","X7977","X8026",0.201423606127318
"4","X7969","X7970",0.201355550459732
"26","X7970","X7989",0.201240326407799
"130","X7974","X8035",0.200328528049391
"210","X7975","X8056",0.200092385966021
"148","X7998","X8038",0.200033339522968
