"","Item1","Item2","Q3"
"69","X8213","X8251",0.230888771857735
"55","X8222","X8240",0.230882708155847
"71","X8189","X8253",0.230187071727836
"148","X8235","X8288",0.228938434468105
"172","X8194","X8294",0.2286755717534
"108","X8240","X8270",0.228571946467848
"26","X8201","X8221",0.228266018564879
"145","X8283","X8287",0.22809494742822
"138","X8203","X8285",0.227823214825279
"88","X8195","X8264",0.227126031142019
"77","X8189","X8258",0.227067189878217
"130","X8253","X8281",0.226490773439032
"98","X8188","X8269",0.225474355431314
"113","X8248","X8271",0.224151336411481
"107","X8216","X8270",0.223964771446604
"2","X8188","X8194",0.223510885829591
"134","X8207","X8283",0.223042776530705
"59","X8215","X8243",0.221895276633875
"125","X8190","X8277",0.221706353382616
"13","X8203","X8211",0.221377037972739
"35","X8186","X8225",0.220236375888932
"67","X8224","X8248",0.218578665106932
"135","X8282","X8283",0.218538632651462
"182","X8272","X8296",0.217727737800188
"57","X8235","X8242",0.217559224493397
"104","X8192","X8270",0.216540214837623
"19","X8199","X8216",0.215464548234282
"154","X8268","X8290",0.215384124914916
"74","X8206","X8256",0.215280651852391
"62","X8202","X8246",0.215111806304242
"169","X8276","X8293",0.215101229547888
"144","X8282","X8287",0.214168408422428
"16","X8199","X8215",0.213898672841509
"116","X8226","X8273",0.212858831998272
"85","X8214","X8262",0.212848827433316
"24","X8193","X8218",0.211942634927145
"56","X8198","X8242",0.21136001432483
"132","X8201","X8283",0.210670796585615
"167","X8242","X8293",0.210445601893019
"97","X8221","X8268",0.209620226532276
"114","X8269","X8271",0.208918790732222
"162","X8214","X8292",0.208042708768327
"25","X8195","X8218",0.207740594646175
"123","X8254","X8275",0.207179170065862
"177","X8290","X8295",0.20692592002323
"53","X8187","X8240",0.206703076991386
"100","X8245","X8269",0.206627662345314
"46","X8199","X8232",0.205783529128168
"7","X8186","X8197",0.205718099773504
"54","X8192","X8240",0.205110103587281
"139","X8254","X8285",0.204804081464838
"38","X8212","X8227",0.204414161687886
"21","X8198","X8217",0.204230498438039
"40","X8218","X8228",0.204216112452506
"124","X8235","X8276",0.203778945864484
"147","X8218","X8288",0.203395981408322
"11","X8201","X8207",0.202405629473727
"61","X8240","X8243",0.201990201632714
"33","X8214","X8224",0.201806531216589
"9","X8189","X8202",0.201704420788618
"115","X8248","X8272",0.201475769521428
"14","X8205","X8214",0.200985943834892
"166","X8194","X8293",0.200794576824822
"18","X8198","X8216",0.200624635519841
"23","X8191","X8218",0.200583132911801
"127","X8185","X8280",0.200468665964649
"66","X8246","X8247",0.200380932386593
"110","X8185","X8271",0.200336290984268
"22","X8205","X8217",0.200029982890009
