"model","pirt_accuracy","theta","n_subset_items","n_all_items","avg_observed","avg_predicted","actual_accuracy","n_items","error","abs_error","squared_error"
"chanwit/flux-base-optimized",0.73233582454048,-0.522527285425267,30,5600,0.8,0.731971385534414,0.729994746979513,5711,0.00234107756096691,0.00234107756096691,5.48064414646277e-06
"ChaoticNeutrals/Prima-LelantaclesV7-experimental-7b",0.851501491336048,1.50514088674234,30,5600,0.8,0.851778878183459,0.8520399229557,5711,-0.000538431619651947,0.000538431619651947,2.89908609041019e-07
"chargoddard/MixtralRPChat-ZLoss",0.753876720084404,-0.214210615056427,30,5600,0.7,0.754166899905326,0.802661530379968,5711,-0.048784810295564,0.048784810295564,0.00237995771557417
"chlee10/T3Q-Merge-Mistral7B",0.85880146162852,2.19775563943149,312,5600,0.657051282051282,0.870705027443213,0.85799334617405,5711,0.000808115454470015,0.000808115454470015,6.53050587753279e-07
"chrlu/zephyr-7b-gemma-hinge",0.733127800604165,-0.509967003425146,30,5600,0.733333333333333,0.733126693605623,0.747154613902994,5711,-0.0140268132988289,0.0140268132988289,0.000196751491320204
"chujiezheng/Starling-LM-7B-beta-ExPO",0.750579745194495,-0.260690102607505,30,5600,0.766666666666667,0.750493101093209,0.763263876729119,5711,-0.012684131534624,0.012684131534624,0.000160887192787643
"cloudyu/Truthful_DPO_TomGrc_FusionNet_34Bx2_MoE",0.720253169641808,-0.69537877405903,30,5600,0.8,0.719823653499843,0.806863946769392,5711,-0.086610777127584,0.086610777127584,0.00750142671464403
"cognitivecomputations/dolphin-2.8-experiment26-7b",0.762129379499878,-0.0884997261600931,30,5600,0.766666666666667,0.76210494168749,0.765189984240939,5711,-0.00306060474106096,0.00306060474106096,9.36730138100481e-06
"cognitivecomputations/MegaDolphin-120b",0.768698881087615,0.00568966803290365,30,5600,0.8,0.768530293373545,0.829977236911224,5711,-0.0612783558236091,0.0612783558236091,0.00375503689244484
"Community-LM/llava-v1.5-13b-hf",0.678945059652058,-1.29761908496309,42,5600,0.595238095238095,0.679577605982642,0.704955349325862,5711,-0.026010289673804,0.026010289673804,0.000676535168915197
"core-3/kuno-royale-v3-7b",0.831940967891525,0.988212075480093,30,5600,0.566666666666667,0.833369734325411,0.844685694274208,5711,-0.012744726382683,0.012744726382683,0.000162428050569456
"CorticalStack/mistral-7b-openhermes-sft",0.750580260918621,-0.257140532252108,30,5600,0.733333333333333,0.750673152808668,0.735247767466293,5711,0.015332493452328,0.015332493452328,0.000235085355465681
"CorticalStack/mistral-7b-slimorca-sft",0.736186338728237,-0.469686096101102,30,5600,0.733333333333333,0.73620170500505,0.754859043950271,5711,-0.018672705222034,0.018672705222034,0.000348669920308976
"CorticalStack/pastiche-crown-clown-7b-dare-dpo",0.855506184316878,1.72526040202786,30,5600,0.8,0.855805140426305,0.858693748905621,5711,-0.00318756458874303,0.00318756458874303,1.01605680074085e-05
"cstr/Spaetzle-v8-7b",0.819341973288712,0.747739003718539,30,5600,0.433333333333333,0.821421014437484,0.818070390474523,5711,0.00127158281418904,0.00127158281418904,1.61692285334093e-06
"csujeong/Falcon-7B-Fintued-Finance-Stock-E",0.679273964241696,-1.29639790717727,47,5600,0.595744680851064,0.679980947191338,0.6706356154789,5711,0.0086383487627959,0.0086383487627959,7.46210693476975e-05
"CultriX/MergeTrix-7B",0.823648033963197,0.814520521648368,30,5600,0.7,0.824314001830144,0.838382069690072,5711,-0.014734035726875,0.014734035726875,0.00021709180880083
"CultriX/MonaCeption-7B-SLERP-DPO",0.851040378052516,1.49971363120572,30,5600,0.733333333333333,0.851674347772727,0.856592540710909,5711,-0.00555216265839298,0.00555216265839298,3.08265101852534e-05
"CultriX/NeuralCeptrix-7B-SLERP",0.856278563806187,1.76139834869299,31,5600,0.838709677419355,0.856376361521754,0.860094554368762,5711,-0.00381599056257498,0.00381599056257498,1.45617839736613e-05
"CultriX/SevereNeuralBeagleTrix-7B",0.833754495072482,1.00032597750568,30,5600,0.7,0.834474896302674,0.846261600420242,5711,-0.01250710534776,0.01250710534776,0.000156427684179967
"DAMO-NLP-SG/CLEX-Mixtral-8x7B-Chat-32K",0.767461582700468,-0.00431951373033352,30,5600,0.633333333333333,0.768183996969949,0.808790054281212,5711,-0.0413284715807439,0.0413284715807439,0.00170804256320036
"Dampfinchen/Llama-3-8B-Ultra-Instruct-SaltSprinkle",0.65298704793365,-1.76665344492632,48,5600,0.5,0.654309702526737,0.660829977236911,5711,-0.00784292930326091,0.00784292930326091,6.15115400559487e-05
"davzoku/frankencria-llama2-11b-v1.3-m.1",0.620214727478031,-2.38421721979856,50,5600,0.58,0.620577022320175,0.660654876554019,5711,-0.040440149075988,0.040440149075988,0.00163540565728814
"dawn17/StarlingMaid-2x7B-base",0.766555696559822,-0.0238354207944674,30,5600,0.8,0.76637556566158,0.787777972334092,5711,-0.0212222757742699,0.0212222757742699,0.000450384989039165
"decem/Dionysus-Mistral-m3-v5",0.751592549540993,-0.247005460700292,30,5600,0.666666666666667,0.752049960041213,0.719838907371739,5711,0.031753642169254,0.031753642169254,0.00100829379101303
"decem/Dionysus-Mistral-n1-v1",0.734437941500545,-0.493334477178969,30,5600,0.7,0.734623424129812,0.728243740150587,5711,0.00619420134995796,0.00619420134995796,3.8368130363821e-05
"dfurman/Mistral-7B-Instruct-v0.2",0.737260168776334,-0.453037078198981,30,5600,0.766666666666667,0.737101785484286,0.746979513220102,5711,-0.00971934444376799,0.00971934444376799,9.44656564166036e-05
"diffnamehard/Mistral-CatMacaroni-slerp-uncensored",0.750472221383814,-0.260878078255047,30,5600,0.666666666666667,0.750923597800603,0.770968306776396,5711,-0.0204960853925821,0.0204960853925821,0.000420089516420016
"diffnamehard/Psyfighter2-Noromaid-ties-Capybara-13B",0.708937166307661,-0.846291203355874,30,5600,0.666666666666667,0.709164835066948,0.765890386972509,5711,-0.056953220664848,0.056953220664848,0.00324366934409887
"DiscoResearch/DiscoLM-70b",0.783624680256535,0.230409182485152,30,5600,0.6,0.784613682125062,0.800910523551042,5711,-0.017285843294507,0.017285843294507,0.000298800378402253
"DopeorNope/You_can_cry_Snowman-13B",0.80327040651816,0.500136120674738,30,5600,0.566666666666667,0.804544753411435,0.809490457012782,5711,-0.00622005049462204,0.00622005049462204,3.86890281556479e-05
"DreadPoor/connate-7B-slerp",0.83590154863282,1.04664897798868,30,5600,0.766666666666667,0.83627444745849,0.84748730520049,5711,-0.01158575656767,0.01158575656767,0.000134229755245309
"DreadPoor/JustToSuffer-7B-slerp",0.808288753758065,0.574946291901099,30,5600,0.8,0.808333396956044,0.819996497986342,5711,-0.011707744228277,0.011707744228277,0.000137071274914754
"DreadPoor/ToppyLake-Bagel-7B-slerp",0.801090910944724,0.483126152168187,30,5600,0.7,0.801635386228088,0.800735422868149,5711,0.000355488076574928,0.000355488076574928,1.26371772586942e-07
"DreadPoor/WestMonarchLasers-7B-slerp",0.842902747697994,1.24464195805737,30,5600,0.633333333333333,0.844031487811269,0.850989318858344,5711,-0.00808657116034994,0.00808657116034994,6.53926331314034e-05
"dreamgen/opus-v1.2-llama-3-8b",0.660353405640257,-1.63444812216301,48,5600,0.5625,0.6611994005017,0.686569777622133,5711,-0.026216371981876,0.026216371981876,0.000687298159892092
"DrNicefellow/Mixtral-6x7B-Instruct-v0.1-bfloat16-Trimmed024567",0.713505302406148,-0.780547345105114,30,5600,0.633333333333333,0.713937108343703,0.677114340745929,5711,0.0363909616602189,0.0363909616602189,0.00132430209055552
"DUAL-GPO/zephyr-7b-gpo-update3-i0",0.764143989899874,-0.0573823945854162,30,5600,0.766666666666667,0.764130402771866,0.793381194186657,5711,-0.029237204286783,0.029237204286783,0.000854814114507082
"DUAL-GPO/zephyr-7b-gpo-v5-i1",0.765657956168386,-0.0357353254616557,30,5600,0.733333333333333,0.765832056470909,0.796533006478725,5711,-0.0308750503103391,0.0308750503103391,0.000953268731665971
"dzakwan/dzakwan-MoE-4x7b-Beta",0.844959993481157,1.27949929638302,30,5600,0.6,0.846279347126477,0.854141131150411,5711,-0.00918113766925399,0.00918113766925399,8.42932889017946e-05
"eduagarcia/mistral-orpo-mix-21k",0.747877007444979,-0.294522691687743,30,5600,0.666666666666667,0.748314406048812,0.759586762388373,5711,-0.011709754943394,0.011709754943394,0.00013711836083434
"elinas/chronos-mistral-7b",0.668837976049587,-1.48080460569538,51,5600,0.588235294117647,0.669578782821713,0.653300647872527,5711,0.01553732817706,0.01553732817706,0.000241408566881662
"elyza/ELYZA-japanese-Llama-2-13b",0.685214460381699,-1.20204522907123,47,5600,0.638297872340426,0.685611557381148,0.714235685519173,5711,-0.0290212251374741,0.0290212251374741,0.000842231508479957
"EmbeddedLLM/Medusa2-Mistral-7B-Instruct-v0.2",0.777753746974749,0.145037320280481,30,5600,0.7,0.778172528376768,0.785151462090702,5711,-0.007397715115953,0.007397715115953,5.47261889367995e-05
"eren23/DistilHermes-2.5-Mistral-7B",0.780166835983555,0.180917483231663,30,5600,0.666666666666667,0.780778147487954,0.783925757310454,5711,-0.00375892132689903,0.00375892132689903,1.41294895418164e-05
"Eric111/Mathral",0.785388091558613,0.250203285326062,30,5600,0.633333333333333,0.786207057940437,0.807914550866748,5711,-0.022526459308135,0.022526459308135,0.000507441368961063
"ericpolewski/AIRIC-The-Mistral",0.742833901656342,-0.369823370125792,30,5600,0.6,0.743603204537795,0.752057433023989,5711,-0.00922353136764698,0.00922353136764698,8.50735308899677e-05
"euclaise/Ferret_7B",0.726391462188354,-0.605179541952448,30,5600,0.733333333333333,0.726354073295293,0.722115216249343,5711,0.00427624593901099,0.00427624593901099,1.8286279330908e-05
"Eurdem/Defne_llama3_2x8B",0.739263195061383,-0.42773015785295,30,5600,0.733333333333333,0.739295133275358,0.800910523551042,5711,-0.0616473284896589,0.0616473284896589,0.00380039310991191
"ewqr2130/alignment-handbook-zephyr-7b_ppo_5e7step_102",0.732583666193584,-0.517922943966927,30,5600,0.7,0.732759161702706,0.742076694099107,5711,-0.00949302790552309,0.00949302790552309,9.01175788150401e-05
"FelixChao/Scorpio-7B",0.834204021345111,1.00678804593475,30,5600,0.766666666666667,0.834567777294905,0.848888110663632,5711,-0.0146840893185211,0.0146840893185211,0.000215622479114304
"FelixChao/Voldemort-10B",0.774257567046168,0.088108778342806,30,5600,0.833333333333333,0.773939385181067,0.77517072316582,5711,-0.000913156119652037,0.000913156119652037,8.33854098857965e-07
"fhai50032/RolePlayLake-7B-Toxic",0.767692486574581,-0.00369710642617038,30,5600,0.766666666666667,0.767698011636922,0.786202066188058,5711,-0.018509579613477,0.018509579613477,0.000342604537467643
"fhai50032/xLakeChat",0.746266656103226,-0.324516257407394,30,5600,0.766666666666667,0.74615678171958,0.746629311854316,5711,-0.000362655751090069,0.000362655751090069,1.31519193798702e-07
"FlagAlpha/Llama3-Chinese-8B-Instruct",0.65886904047419,-1.65972549919066,48,5600,0.541666666666667,0.659882317481172,0.668534407284188,5711,-0.00966536680999797,0.00966536680999797,9.34193155718103e-05
"flammenai/flammen22C-mistral-7B",0.819250752948319,0.748534091316943,30,5600,0.533333333333333,0.820790703143731,0.813167571353528,5711,0.00608318159479093,0.00608318159479093,3.70050983152031e-05
"flammenai/flammen23X-mistral-7B",0.802279431020622,0.496849143668213,30,5600,0.733333333333333,0.802650774455203,0.816319383645596,5711,-0.0140399526249739,0.0140399526249739,0.000197120269711512
"flammenai/Mahou-1.1-mistral-7B",0.80465299872048,0.517177172874326,30,5600,0.633333333333333,0.805575725823104,0.816144282962704,5711,-0.011491284242224,0.011491284242224,0.000132049613535586
"FoxEngineAi/Mega-Destroyer-8x7B",0.785227682339341,0.24977215451601,30,5600,0.666666666666667,0.785866251544041,0.807214148135178,5711,-0.021986465795837,0.021986465795837,0.000483404678191509
"fzzhang/Marcoroni-neural-chat-7B-v2_gsm8k_merged_s",0.780766864626067,0.189533312749667,30,5600,0.7,0.781201874668937,0.800385221502364,5711,-0.019618356876297,0.019618356876297,0.000384879926525749
"fzzhang/toten_gsm8k_merged_s",0.772518688471373,0.062741786949503,30,5600,0.733333333333333,0.772729740653445,0.780598844335493,5711,-0.00808015586412003,0.00808015586412003,6.52889187884733e-05
"gagan3012/MetaModelv2",0.803001614958418,0.500018492155552,30,5600,0.7,0.80355638128674,0.842934687445281,5711,-0.039933072486863,0.039933072486863,0.00159465027824105
"Gille/MoE-StrangeMerges-2x7B",0.823456588541985,0.808684995937975,30,5600,0.666666666666667,0.824301058498225,0.837331465592716,5711,-0.013874877050731,0.013874877050731,0.000192512213172901
"Gille/StrangeMerges_18-7B-dare_ties",0.782710292531553,0.21786841451942,30,5600,0.7,0.783155769870143,0.776396427946069,5711,0.006313864585484,0.006313864585484,3.9864886003829e-05
"Gille/StrangeMerges_20-7B-slerp",0.833393688842586,1.00003864738355,30,5600,0.666666666666667,0.834291679985365,0.848888110663632,5711,-0.015494421821046,0.015494421821046,0.000240077107568506
"Gille/StrangeMerges_3-7B-slerp",0.832684937870951,0.999365060184185,30,5600,0.566666666666667,0.834117711324475,0.838732271055857,5711,-0.00604733318490602,0.00604733318490602,3.65702386492656e-05
"Gille/StrangeMerges_40-7B-dare_ties",0.84393026065999,1.25065503997763,30,5600,0.8,0.844166868886166,0.850464016809666,5711,-0.006533756149676,0.006533756149676,4.26899694234289e-05
"Gille/StrangeMerges_52-7B-dare_ties",0.803098556139624,0.500569099903103,30,5600,0.6,0.804192444233734,0.826650323936263,5711,-0.023551767796639,0.023551767796639,0.000554685766346803
"giraffe176/Open_Hermes_Maid_Sam_Mistral_dtv0.1",0.788694679386177,0.294447424616521,30,5600,0.7,0.789172388610878,0.813342672036421,5711,-0.024647992650244,0.024647992650244,0.000607523541686481
"giraffe176/Open_Hermes_Orca_Mistral-7B",0.782194730403996,0.211715560015616,30,5600,0.733333333333333,0.782457897713173,0.780773945018386,5711,0.00142078538560997,0.00142078538560997,2.01863111196287e-06
"gmonsoon/OpenMia-Indo-Engineering",0.765497192935401,-0.0364155863472099,30,5600,0.733333333333333,0.765670427367728,0.788478375065663,5711,-0.022981182130262,0.022981182130262,0.000528134732104274
"GOAT-AI/GOAT-70B-Storytelling",0.75311535554473,-0.229924163311215,30,5600,0.7,0.753401434658975,0.827525827350727,5711,-0.074410471805997,0.074410471805997,0.00553691831439108
"grimjim/kuno-kunoichi-v1-DPO-v2-SLERP-7B",0.818737897838282,0.747276281128129,30,5600,0.533333333333333,0.820275085797914,0.829627035545439,5711,-0.010889137707157,0.010889137707157,0.000118573320005429
"grimjim/Mistral-7B-Instruct-demi-merge-v0.2-7B",0.768489074260949,0.00351834592409827,30,5600,0.766666666666667,0.768498889741708,0.785326562773595,5711,-0.016837488512646,0.016837488512646,0.000283501019413486
"grimjim/zephyr-wizard-kuno-royale-BF16-merge-7B",0.803015883427369,0.499991024190722,30,5600,0.766666666666667,0.803211660178324,0.821922605498161,5711,-0.018906722070792,0.018906722070792,0.000357464139462174
"Gryphe/Pantheon-RP-1.0-8b-Llama-3",0.701872193626287,-0.949726795010382,31,5600,0.67741935483871,0.702008311062526,0.765189984240939,5711,-0.0633177906146519,0.0633177906146519,0.0040091426083209
"h2m/mhm-8x7B-FrankenMoE-v1.0",0.819867358495009,0.750044353420593,30,5600,0.8,0.819974364016526,0.836455962178252,5711,-0.016588603683243,0.016588603683243,0.000275181772159703
"Hastagaras/Halu-OAS-8B-Llama3",0.706467649334389,-0.88224630638202,30,5600,0.666666666666667,0.706682017284126,0.757135352827876,5711,-0.050667703493487,0.050667703493487,0.00256721617730392
"Himitsui/Kaiju-11B",0.786835021559817,0.267717273514767,30,5600,0.766666666666667,0.786943648246854,0.830502538959902,5711,-0.043667517400085,0.043667517400085,0.00190685207588673
"hiyouga/Qwen-14B-Chat-LLaMAfied",0.705598985980277,-0.898049905134416,37,5600,0.675675675675676,0.70579800853668,0.733146559271581,5711,-0.027547573291304,0.027547573291304,0.000758868794239764
"ibivibiv/orthorus-125b-v2",0.787918071565504,0.28616167539816,30,5600,0.666666666666667,0.788571131196916,0.84941341271231,5711,-0.061495341146806,0.061495341146806,0.00378167698276205
"icefog72/IceCappuccinoRP-7b",0.716124148048061,-0.752773584657599,30,5600,0.666666666666667,0.716390525865196,0.728769042199265,5711,-0.012644894151204,0.012644894151204,0.000159893348095152
"icefog72/IceLatteRP-7b",0.813629371768969,0.662928954206793,30,5600,0.8,0.813702779516378,0.83365435125197,5711,-0.020024979483001,0.020024979483001,0.00040099980329461
"ichigoberry/pandafish-2-7b-32k",0.768153133525364,-0.00023485045903416,30,5600,0.766666666666667,0.768161139630527,0.786902468919629,5711,-0.018749335394265,0.018749335394265,0.00035153757772664
"IDEA-CCNL/Ziya2-13B-Base",0.693938987946352,-1.06573141445127,33,5600,0.606060606060606,0.694459912430316,0.678690246891963,5711,0.015248741054389,0.015248741054389,0.000232524103743809
"indischepartij/MiaLatte-Indo-Mistral-7b",0.766509067957969,-0.0205874455819503,30,5600,0.733333333333333,0.766687752345535,0.792155489406409,5711,-0.02564642144844,0.02564642144844,0.000657738933111002
"indischepartij/OpenMia-Indo-Engineering-7b",0.76461983935856,-0.0496419653822556,30,5600,0.766666666666667,0.764608815154028,0.788478375065663,5711,-0.0238585357071029,0.0238585357071029,0.000569229726087106
"indischepartij/OpenMia-Indo-Mistral-7b-v3-refined",0.750384584380297,-0.262122938188173,30,5600,0.633333333333333,0.751015021998144,0.774645421117142,5711,-0.024260836736845,0.024260836736845,0.000588588199171847
"INSAIT-Institute/BgGPT-7B-Instruct-v0.2",0.734155367749372,-0.502175798464734,30,5600,0.6,0.734877928078363,0.73769917702679,5711,-0.00354380927741804,0.00354380927741804,1.25585841947142e-05
"Isaak-Carter/JOSIE_Beta-3-7B-slerp",0.764600451837118,-0.0499976935296235,30,5600,0.766666666666667,0.764589323211465,0.77972334092103,5711,-0.015122889083912,0.015122889083912,0.000228701774244305
"jae24/openhermes_dpo_norobot_0201",0.76017901026397,-0.11865474862241,30,5600,0.766666666666667,0.76014406776988,0.756259849413413,5711,0.00391916085055699,0.00391916085055699,1.53598217725386e-05
"JaeyeonKang/CCK_Gony_v0.2",0.786201825242784,0.261290841314929,30,5600,0.666666666666667,0.786845641177665,0.811066363158816,5711,-0.0248645379160319,0.0248645379160319,0.00061824524577779
"jan-hq/stealth-rag-v1.1",0.754198905214001,-0.207835469419709,30,5600,0.666666666666667,0.754670353536518,0.76659078970408,5711,-0.012391884490079,0.012391884490079,0.00015355880121546
"jan-hq/stealth-v1.2",0.785457070747788,0.25175360423466,30,5600,0.733333333333333,0.785737809010343,0.807739450183856,5711,-0.0222823794360679,0.0222823794360679,0.000496504433332903
