"model","pirt_accuracy","theta","n_subset_items","n_all_items","avg_observed","avg_predicted"
"FelixChao/Voldemort-10B",0.774257567046168,0.088108778342806,30,5600,0.833333333333333,0.773939385181067
"eduagarcia/mistral-orpo-mix-21k",0.747877007444979,-0.294522691687743,30,5600,0.666666666666667,0.748314406048812
"DreadPoor/JustToSuffer-7B-slerp",0.808288753758065,0.574946291901099,30,5600,0.8,0.808333396956044
"chargoddard/MixtralRPChat-ZLoss",0.753876720084404,-0.214210615056427,30,5600,0.7,0.754166899905326
"nbeerbower/MaidFlameSoup-7B",0.832316117539699,0.995798658262637,30,5600,0.566666666666667,0.833746904528243
"INSAIT-Institute/BgGPT-7B-Instruct-v0.2",0.734155367749372,-0.502175798464734,30,5600,0.6,0.734877928078363
"manishiitg/open-aditi-hi-v1",0.734298534073736,-0.496690085811189,30,5600,0.666666666666667,0.734662799068748
"allknowingroger/Multimerge-12B-MoE",0.859501474864264,2.10338396458334,146,5600,0.643835616438356,0.865274708331478
"Rebecca19990101/Breeze-Petro-7B-Instruct-v1",0.718336378029871,-0.71855408506086,30,5600,0.733333333333333,0.718255604482456
"maywell/Synatra-RP-Orca-2-7b-v0.1",0.642078051709167,-1.98151893165827,60,5600,0.516666666666667,0.643436297756559
"jsfs11/SnorkelWestBeagle-DARETIES-7B",0.819308035386234,0.748750333761443,30,5600,0.733333333333333,0.819771094822785
"MoxoffSpA/Volare",0.716616621002832,-0.743811769598738,30,5600,0.7,0.716706118063889
"eren23/DistilHermes-2.5-Mistral-7B",0.780166835983555,0.180917483231663,30,5600,0.666666666666667,0.780778147487954
"ibivibiv/orthorus-125b-v2",0.787918071565504,0.28616167539816,30,5600,0.666666666666667,0.788571131196916
"chanwit/flux-base-optimized",0.73233582454048,-0.522527285425267,30,5600,0.8,0.731971385534414
"elyza/ELYZA-japanese-Llama-2-13b",0.685214460381699,-1.20204522907123,47,5600,0.638297872340426,0.685611557381148
"wang7776/Llama-2-7b-chat-hf-20-sparsity",0.613695197561932,-2.49412995900938,53,5600,0.547169811320755,0.6143308286185
"flammenai/flammen22C-mistral-7B",0.819250752948319,0.748534091316943,30,5600,0.533333333333333,0.820790703143731
"fzzhang/toten_gsm8k_merged_s",0.772518688471373,0.062741786949503,30,5600,0.733333333333333,0.772729740653445
"augmxnt/shisa-base-7b-v1",0.705633002198223,-0.894953962583313,30,5600,0.633333333333333,0.706022407955126
"yam-peleg/Experiment25-7B",0.857661865676505,1.8483198291792,47,5600,0.787234042553192,0.858257959263178
"zhengr/NeuralPipe-7B-slerp",0.786556846723927,0.262386563510144,30,5600,0.666666666666667,0.78720257480323
"allknowingroger/StarlingDolphin-7B-slerp",0.743721783463736,-0.36037142390811,30,5600,0.7,0.743957268832482
"refine-ai/Llama3-7b",0.665116596990021,-1.54398997275466,50,5600,0.56,0.6660635933593
"SuperAGI/SAM",0.733927951119971,-0.501621553471272,30,5600,0.8,0.733572087301946
"netcat420/MFANNV0.8",0.841926973318389,1.18897903159928,30,5600,0.533333333333333,0.843589057555292
"SF-Foundation/TextBase-v0.2",0.856263472000318,1.75636459453964,34,5600,0.882352941176471,0.856104104060687
"APMIC/caigun-lora-model-34B-v2",0.73341953210999,-0.507376934384094,30,5600,0.833333333333333,0.732881396735358
"222gate/Blurdus-7b-v0.1",0.833353370514175,1.00002530920131,30,5600,0.6,0.834610210929871
"core-3/kuno-royale-v3-7b",0.831940967891525,0.988212075480093,30,5600,0.566666666666667,0.833369734325411
"NECOUDBFM/Jellyfish",0.714819711601017,-0.770694317848587,30,5600,0.7,0.714899530514487
"chrlu/zephyr-7b-gemma-hinge",0.733127800604165,-0.509967003425146,30,5600,0.733333333333333,0.733126693605623
"yam-peleg/Experiment30-7B",0.858977414064823,2.00773664457078,88,5600,0.670454545454545,0.861987213128268
"weezywitasneezy/BenchmarkEngineering-7B-slerp",0.85046075668667,1.48977979706811,30,5600,0.7,0.85127113778193
"Locutusque/llama-3-neural-chat-v2.2-8B",0.705074983594638,-0.90029170145989,34,5600,0.794117647058823,0.70453106506108
"Kquant03/Buttercup-4x7B-bf16",0.832837285045143,0.999341965648758,30,5600,0.733333333333333,0.833373212971777
"cloudyu/Truthful_DPO_TomGrc_FusionNet_34Bx2_MoE",0.720253169641808,-0.69537877405903,30,5600,0.8,0.719823653499843
"openlynn/Llama-3-Soliloquy-8B-v2",0.679756664536694,-1.29202692313407,46,5600,0.608695652173913,0.680345214513051
"icefog72/IceLatteRP-7b",0.813629371768969,0.662928954206793,30,5600,0.8,0.813702779516378
"Samee-ur/NeuralPipe-7B-slerp",0.787956159340126,0.282666258174458,30,5600,0.7,0.788429890898511
"smelborp/MixtralOrochi8x7B-Alt",0.742379314862033,-0.379702452066431,30,5600,0.833333333333333,0.741889436845132
"argilla/distilabeled-Marcoro14-7B-slerp-full",0.819877216753275,0.750158540571862,30,5600,0.733333333333333,0.820343341798625
"yentinglin/Taiwan-LLM-8x7B-DPO",0.781136275710642,0.194592522379198,30,5600,0.633333333333333,0.781932341827576
"dfurman/Mistral-7B-Instruct-v0.2",0.737260168776334,-0.453037078198981,30,5600,0.766666666666667,0.737101785484286
"juhwanlee/experiment2-cause-v1",0.750421745834389,-0.25997774700017,30,5600,0.7,0.750693317176406
"SilverCoder66/Mistral-7B-Instruct-adapt-v0.2",0.840021942063741,1.15937661481163,30,5600,0.566666666666667,0.841494232595502
"zorobin/mistral-class-shishya-all-hal-7b-ep3",0.76806579905716,-0.00420062816256679,30,5600,0.666666666666667,0.768611934420125
"openaccess-ai-collective/dpopenhermes-alpha-v0",0.767848705684785,-0.00256688913399092,30,5600,0.666666666666667,0.768393671783626
"Xenon1/Xenon-1",0.733945067543727,-0.501303472772521,30,5600,0.833333333333333,0.733409762701054
"Mihaiii/Pallas-0.4",0.715529229857509,-0.755067979846157,30,5600,0.7,0.715612870233761
"Mihaiii/Bucharest-0.3",0.749006779405626,-0.284199085245871,30,5600,0.666666666666667,0.749450262957183
"cognitivecomputations/MegaDolphin-120b",0.768698881087615,0.00568966803290365,30,5600,0.8,0.768530293373545
"BFauber/lora_llama2-13b_10e5_r128_a16",0.704967360729055,-0.90412465220879,30,5600,0.7,0.704994114916105
"NousResearch/Hermes-2-Theta-Llama-3-8B",0.683898752304547,-1.22425460065602,42,5600,0.666666666666667,0.68402896957637
"LeroyDyer/Mixtral_AI_MasterTron",0.694626990797309,-1.05701087742082,43,5600,0.604651162790698,0.695323222685789
"yam-peleg/Experiment9-7B",0.833561555147807,1.00001504312573,30,5600,0.7,0.834280917204258
"rishiraj/smol-7b",0.768130828334422,-0.000377186521753035,30,5600,0.666666666666667,0.768677313944841
"diffnamehard/Mistral-CatMacaroni-slerp-uncensored",0.750472221383814,-0.260878078255047,30,5600,0.666666666666667,0.750923597800603
"openchat/openchat-3.5-0106-gemma",0.684460025792668,-1.21511980999259,43,5600,0.651162790697674,0.684717679402365
"DrNicefellow/Mixtral-6x7B-Instruct-v0.1-bfloat16-Trimmed024567",0.713505302406148,-0.780547345105114,30,5600,0.633333333333333,0.713937108343703
"mlabonne/NeuralMarcoro14-7B",0.825588057286195,0.852558853727109,30,5600,0.633333333333333,0.826623540539083
"louisbrulenaudet/Pearl-7B-0211-ties",0.84445455037677,1.26090780837063,30,5600,0.7,0.845232582066411
"aihub-app/ZySec-7B-v1",0.768461122659165,0.00235181160528334,30,5600,0.766666666666667,0.768470787592697
"refuelai/Llama-3-Refueled",0.66948087656635,-1.4728285475312,50,5600,0.6,0.67010683040929
"rishiraj/meow",0.801738112766092,0.492183656904274,30,5600,0.766666666666667,0.801927007448854
"NovoCode/Novocode7b-v3",0.750594711953194,-0.257007411120984,30,5600,0.6,0.751405814531039
"cognitivecomputations/dolphin-2.8-experiment26-7b",0.762129379499878,-0.0884997261600931,30,5600,0.766666666666667,0.76210494168749
"mncai/mistral-7b-dpo-v6",0.832968864538226,0.999951265719326,30,5600,0.633333333333333,0.834044100792471
"DUAL-GPO/zephyr-7b-gpo-update3-i0",0.764143989899874,-0.0573823945854162,30,5600,0.766666666666667,0.764130402771866
"Community-LM/llava-v1.5-13b-hf",0.678945059652058,-1.29761908496309,42,5600,0.595238095238095,0.679577605982642
"Stopwolf/Tito-7B-slerp",0.784967339596771,0.247616251398966,30,5600,0.633333333333333,0.785784039810039
"JaeyeonKang/CCK_Gony_v0.2",0.786201825242784,0.261290841314929,30,5600,0.666666666666667,0.786845641177665
"simonveitner/MathHermes-2.5-Mistral-7B",0.773635236004479,0.0803164755221574,30,5600,0.7,0.774031835121199
"liminerity/binarized-ingotrix-slerp-7b",0.850365381865464,1.4803222904977,30,5600,0.766666666666667,0.850816182844991
"Xwin-LM/Xwin-Math-70B-V1.0",0.748088594312122,-0.290073815012632,30,5600,0.6,0.74888619894935
"Kukedlc/NeuralSirKrishna-7b",0.851127462239083,1.49417317659098,30,5600,0.7,0.851941434208055
"moondriller/llama2-13B-eugeneparkthebest",0.667834800708801,-1.49857746460731,51,5600,0.588235294117647,0.668566387451664
"kaitchup/Mayonnaise-4in1-01",0.837124349452138,1.0813328685879,30,5600,0.7,0.83786290070592
"Yhyu13/LMCocktail-Mistral-7B-v1",0.78328014464914,0.225564197960241,30,5600,0.733333333333333,0.783549157995544
"Muhammad2003/Myriad-7B-Slerp",0.859286856972664,2.05029467039699,105,5600,0.657142857142857,0.863149481173234
"Skylaude/WizardLM-2-4x7B-MoE",0.783887239746667,0.237347126824703,30,5600,0.666666666666667,0.784518589332376
"NovoCode/Novocode7b",0.714376259848953,-0.769578104039021,30,5600,0.8,0.713915090691945
"LeroyDyer/Mixtral_Uncensored",0.766668808238212,-0.0208870513408722,30,5600,0.8,0.766489286559064
"Himitsui/Kaiju-11B",0.786835021559817,0.267717273514767,30,5600,0.766666666666667,0.786943648246854
"Sao10K/Frostwind-v2.1-m7",0.749528819812148,-0.272411025427238,30,5600,0.7,0.749795581857814
"nonetrix/sillyrp-7b",0.775971553491688,0.114729057191487,30,5600,0.666666666666667,0.77656026921965
"jpquiroga/Mistral_7B_dare_ties_merge_instruct_open_orca",0.733418662837171,-0.506171771794443,30,5600,0.833333333333333,0.732880522780639
"gagan3012/MetaModelv2",0.803001614958418,0.500018492155552,30,5600,0.7,0.80355638128674
"Alsebay/L3-krai-test-2",0.659535935002768,-1.65003397445068,47,5600,0.574468085106383,0.660255940215289
"Telugu-LLM-Labs/Telugu-Llama2-7B-v0-Instruct",0.631390189054099,-2.18885708868856,61,5600,0.491803278688525,0.632927434320808
"CultriX/MonaCeption-7B-SLERP-DPO",0.851040378052516,1.49971363120572,30,5600,0.733333333333333,0.851674347772727
"yam-peleg/Experiment10-7B",0.833528831099078,1.00000525754606,30,5600,0.7,0.83424801690392
"rombodawg/Open_Gpt4_8x7B",0.76749421053117,-0.0078101942409832,30,5600,0.733333333333333,0.767678200893097
"KnutJaegersberg/webMistral-7B",0.734122090224502,-0.498160631030425,30,5600,0.666666666666667,0.734485404893575
"Kukedlc/NeuralMiLLaMa-8B-slerp",0.669335750996776,-1.47148528121177,46,5600,0.608695652173913,0.66983799164241
"Vasanth/Beast-Soul",0.833219135336633,1.00000196808092,30,5600,0.666666666666667,0.834116186334856
"manishiitg/open-aditi-hi-v4",0.733524404153857,-0.506882264167718,30,5600,0.8,0.733166366833321
"davzoku/frankencria-llama2-11b-v1.3-m.1",0.620214727478031,-2.38421721979856,50,5600,0.58,0.620577022320175
"giraffe176/Open_Hermes_Orca_Mistral-7B",0.782194730403996,0.211715560015616,30,5600,0.733333333333333,0.782457897713173
"Kukedlc/Smart-LLama-3-8b-Python-v5",0.697974853973984,-1.00134048689019,36,5600,0.75,0.697638242676907
"rmihaylov/Llama-3-DARE-v1-8B",0.665427020173801,-1.53726103767318,48,5600,0.5625,0.66631687913784
"alnrg2arg/blockchainlabs_test3_seminar",0.850302716154175,1.47930368869366,30,5600,0.7,0.851112246043695
"MaziyarPanahi/Llama-3-8B-Instruct-DPO-v0.3",0.655393385977644,-1.72702124726377,49,5600,0.530612244897959,0.656494858849721
"RESMPDEV/Wukong-0.1-Mistral-7B-v0.2",0.73307120881808,-0.511945566198121,30,5600,0.666666666666667,0.733428863443671
"vicgalle/solarized-18B-dpo",0.798061330256271,0.439770356891574,30,5600,0.733333333333333,0.798409955015281
"kidyu/Moza-7B-v1.0",0.8030574016252,0.500431811501893,30,5600,0.566666666666667,0.804330601274887
"FoxEngineAi/Mega-Destroyer-8x7B",0.785227682339341,0.24977215451601,30,5600,0.666666666666667,0.785866251544041
"allknowingroger/LimmyAutomerge-7B-slerp",0.857783185352087,1.89129830522418,49,5600,0.73469387755102,0.858869724008591
"M4-ai/Hercules-Qwen1.5-14B",0.704006298667429,-0.918074369700324,30,5600,0.7,0.704027876577667
"TeeZee/Xwin-LM-70B-V0.1_Jannie",0.797426879798225,0.427515474740402,30,5600,0.533333333333333,0.798849286691214
"karakuri-ai/karakuri-lm-70b-chat-v0.1",0.705589690574954,-0.896180914895784,30,5600,0.7,0.70561979662832
"shenzhi-wang/Llama3-8B-Chinese-Chat",0.660958067649604,-1.62514707038909,56,5600,0.553571428571429,0.662042781175646
"Gille/StrangeMerges_52-7B-dare_ties",0.803098556139624,0.500569099903103,30,5600,0.6,0.804192444233734
"SanjiWatsuki/Loyal-Toppy-Bruins-Maid-7B-DARE",0.80270011318885,0.499987182301607,30,5600,0.666666666666667,0.803432788843368
"TomGrc/FusionNet_passthrough_v0.1",0.819685186906523,0.749666403866515,30,5600,0.533333333333333,0.821227476961675
"chujiezheng/Starling-LM-7B-beta-ExPO",0.750579745194495,-0.260690102607505,30,5600,0.766666666666667,0.750493101093209
"LoSboccacc/orthogonal-2x7B-base",0.774716378779225,0.0949366222918722,30,5600,0.766666666666667,0.774759734499759
"SrikanthChellappa/Collaiborator-MEDLLM-Llama-3-8B",0.668885889484337,-1.48295280964541,48,5600,0.604166666666667,0.669445421670081
"microsoft/Phi-3-medium-4k-instruct",0.734218623190561,-0.496875879152067,30,5600,0.7,0.734402924572197
"Azazelle/SlimMelodicMaid",0.801192689591793,0.484049850655789,30,5600,0.5,0.802814912336453
"lloorree/jfdslijsijdgis",0.750174431267671,-0.263253616740821,30,5600,0.7,0.750444670574319
"indischepartij/MiaLatte-Indo-Mistral-7b",0.766509067957969,-0.0205874455819503,30,5600,0.733333333333333,0.766687752345535
"kyujinpy/SOLAR-Platypus-10.7B-v2",0.733543309909723,-0.503869280678903,30,5600,0.666666666666667,0.733903507270099
"martyn/llama-megamerge-dare-13b",0.706905125985016,-0.877952796919386,31,5600,0.612903225806452,0.707428390288398
"cstr/Spaetzle-v8-7b",0.819341973288712,0.747739003718539,30,5600,0.433333333333333,0.821421014437484
"cgato/Thespis-7b-v0.2-SFTTest-3Epoch",0.766833287206496,-0.0157698326166852,30,5600,0.733333333333333,0.76701371783777
"liminerity/M7-7b",0.858822174012453,2.20994787141097,376,5600,0.659574468085106,0.873163126812736
"Vasanth/Beast-Soul-new",0.833695663198433,1.00177115404344,30,5600,0.666666666666667,0.834595280774008
"CorticalStack/mistral-7b-openhermes-sft",0.750580260918621,-0.257140532252108,30,5600,0.733333333333333,0.750673152808668
"jisukim8873/mistralai-case-0-1",0.742298712640482,-0.379822462146123,30,5600,0.766666666666667,0.742167466927594
"silvercoder67/Mistral-7b-instruct-v0.2-summ-sft-dpo-e2",0.843104610544382,1.24963835905734,30,5600,0.6,0.844413971103867
"shyamieee/JARVIS-v3.0",0.858605124172861,1.99564909236341,82,5600,0.670731707317073,0.861397008946723
"KoboldAI/LLaMA2-13B-Psyfighter2",0.714072279565404,-0.791802005955804,43,5600,0.511627906976744,0.715638791716081
"abhishek/autotrain-llama3-8b-open-hermes-sft",0.666681023600298,-1.52598235579816,52,5600,0.634615384615385,0.666981566719839
"YeungNLP/firefly-qwen1.5-en-14b-dpo-v0.1",0.722411080254532,-0.661857084363967,30,5600,0.7,0.722531786252312
"maldv/winter-garden-7b-beta",0.759438593176084,-0.129487507221602,30,5600,0.7,0.759758729225506
"decem/Dionysus-Mistral-m3-v5",0.751592549540993,-0.247005460700292,30,5600,0.666666666666667,0.752049960041213
"kyujinpy/Sakura-SOLRCA-Instruct-DPO",0.803247174029246,0.500681859874372,30,5600,0.8,0.803264663296908
"Kquant03/Nanashi-2x7B-bf16",0.844140739852711,1.25463313607241,30,5600,0.733333333333333,0.844737548146352
"TwT-6/open_llm_leaderboard_demo2",0.734694054933285,-0.494124029489104,30,5600,0.7,0.734880916988581
"arcee-ai/Clown-DPO-Extended",0.852790876701423,1.57089747329047,30,5600,0.8,0.853075208173782
"scb10x/typhoon-7b",0.729461569764635,-0.560073791625644,30,5600,0.733333333333333,0.729440716459956
"OpenBuddy/openbuddy-deepseek-10b-v17.1-4k",0.668368249504127,-1.48671194913775,48,5600,0.5625,0.669283536963817
"ArianAskari/NeuralHermes-2.5-Mistral-7B",0.778567538350082,0.156513451444017,30,5600,0.7,0.778990702829526
"Walmart-the-bag/Influxient-4x13B",0.709496387893967,-0.841715043661414,30,5600,0.666666666666667,0.70972706861871
"Yuma42/KangalKhan-Ruby-7B",0.7849301588762,0.247230537792809,30,5600,0.6,0.785926192047885
"ShenaoZhang/0.001_4iters_bs256_nodpo_only4w_userresponse_iter_4",0.767405195221654,-0.0106090066872007,30,5600,0.666666666666667,0.767947772574733
"macadeliccc/SOLAR-10.7b-Instruct-dpo",0.802670635181288,0.499410488165105,30,5600,0.733333333333333,0.803044085640074
"Gille/MoE-StrangeMerges-2x7B",0.823456588541985,0.808684995937975,30,5600,0.666666666666667,0.824301058498225
"zhengr/MixTAO-7Bx2-MoE-Instruct-v1.0",0.833237221160355,1.00000150333912,30,5600,0.633333333333333,0.834313902782404
"bn22/OpenHermes-2.5-Mistral-7B-MISALIGNED",0.781286072266235,0.199360188496085,30,5600,0.666666666666667,0.781903411973234
"Weyaxi/Cosmosis-3x34B",0.720333541290951,-0.695715267118173,30,5600,0.7,0.720443057671333
"abideen/NexoNimbus-MoE-2x7B",0.78514486990247,0.249432408156021,30,5600,0.7,0.785603459866039
"s3nh/Noromaid-Aeryth-7B",0.734645727833758,-0.502378964323162,34,5600,0.676470588235294,0.735001091604212
"flammenai/flammen23X-mistral-7B",0.802279431020622,0.496849143668213,30,5600,0.733333333333333,0.802650774455203
"jan-hq/stealth-v1.2",0.785457070747788,0.25175360423466,30,5600,0.733333333333333,0.785737809010343
"Hastagaras/Halu-OAS-8B-Llama3",0.706467649334389,-0.88224630638202,30,5600,0.666666666666667,0.706682017284126
"lvkaokao/mistral-7b-finetuned-orca-dpo-v2",0.783545376176002,0.230652973377675,30,5600,0.7,0.783995351272102
"louisbrulenaudet/Pearl-3x7B",0.785193259346097,0.249361725067317,30,5600,0.7,0.785652109935035
"TencentARC/LLaMA-Pro-8B",0.657269573064683,-1.70099669282836,49,5600,0.591836734693878,0.657847164323946
