"model","theta_atlas","se","num_items","time_sec"
"AA051610/A12P",-1.11303363140877,0.0985105089261154,43,13.0907375812531
"adamo1139/Yi-34B-200K-AEZAKMI-RAW-2301",-0.689768450249771,0.0930912600329642,30,9.32046556472778
"vicgalle/test-merge-2",-1.11374004515368,0.0998786905480356,31,9.56386494636536
"DAMO-NLP-SG/CLEX-Mixtral-8x7B-Chat-32K",-0.00431951373033352,0.0680076693726597,30,9.23415493965149
"ResplendentAI/Flora_7B",1.25086826696977,0.0536981364602583,30,8.98152995109558
"CausalLM/72B-preview",-0.559550410065889,0.0801235009326869,30,9.31168079376221
"PeanutJar/LLaMa-2-PeanutButter_v19_R8-7B",-1.54079987810997,0.0993638472977367,47,14.4296174049377
"decem/Dionysus-Mistral-n1-v1",-0.493334477178969,0.0795171612575408,30,9.14926695823669
"ichigoberry/pandafish-2-7b-32k",-0.00023485045903416,0.0699587570191174,30,9.16480088233948
"icefog72/IceCappuccinoRP-7b",-0.752773584657599,0.088581007578344,30,9.41676235198975
"Gille/StrangeMerges_20-7B-slerp",1.00003864738355,0.0451467184347247,30,9.15165781974792
"tiiuae/falcon-40b",-0.492342065959,0.0795654785502292,30,9.16078782081604
"ChaoticNeutrals/Prima-LelantaclesV7-experimental-7b",1.50514088674234,0.0683149445462979,30,9.26462531089783
"quantumaikr/quantum-v0.01",0.999991405367192,0.0448033783055656,30,9.4645893573761
"UCLA-AGI/zephyr-7b-sft-full-SPIN-iter3",0.247284610028554,0.0591481024913457,30,9.43962049484253
"Gryphe/Pantheon-RP-1.0-8b-Llama-3",-0.949726795010382,0.098389267656516,31,9.69018959999084
"indischepartij/OpenMia-Indo-Mistral-7b-v3-refined",-0.262122938188173,0.08502685683659,30,9.37968015670776
"yam-peleg/Experiment29-7B",2.01270904813292,0.0998610230200366,89,28.0190889835358
"Yuma42/KangalKhan-Ruby-7B-Fixed",0.249292344503716,0.0588771549047483,30,9.65903186798096
"Undi95/Llamix2-Xwin-MoE-4x13B",-0.808829249555116,0.0759203826481931,30,9.65647268295288
"MaziyarPanahi/YamshadowInex12_Multi_verse_modelExperiment28",2.24564509043782,0.101314459588523,500,161.235365152359
"yunconglong/13B_MATH_DPO",1.81982330376236,0.0992685922005944,37,11.6911454200745
"DopeorNope/You_can_cry_Snowman-13B",0.500136120674738,0.0503217953977317,30,9.30998253822327
"traversaal-ai/traversaal-2.5-Mistral-7B",0.24190994302503,0.061794860318691,30,9.55893564224243
"netcat420/MFANNv0.5",1.00030286075402,0.0459855209598834,30,9.54074144363403
"Eric111/Mathral",0.250203285326062,0.0599034621699729,30,9.43634963035583
"abhishek/autotrain-llama3-70b-orpo-v1",-0.260512523536469,0.0816739220522108,30,9.59004926681519
"LeroyDyer/Mixtral_AI_Cyber_Matrix_2_0",-0.408213074244113,0.0968688476901267,30,9.51253080368042
"lamhieu/ghost-7b-v0.9.1",-1.13607961222604,0.0976628382720788,41,13.0789585113525
"Mihaiii/Metis-0.5",-0.0249598110550179,0.0716772535618553,30,9.44412660598755
"jefferylovely/Merkaba-Maven-0.1",2.14937454473314,0.0997246709496281,202,63.3742780685425
"liminerity/phigment6-slerp",-1.3212390627982,0.0998060621267084,48,14.6338384151459
"Novocoders/Mistral-NeuralDPO-v0.4",0.241586335601653,0.0591501373600165,30,8.97048282623291
"Test157t/Pasta-PrimaMaid-7b",0.479363979851605,0.049533775537464,30,8.92998266220093
"NotAiLOL/Athena-Llama-3-8B-v0.1",-1.01872270977076,0.096729891623743,30,9.00704455375671
"wandb/mistral-7b-zephyr-sft",-0.00444660278748867,0.067968081345365,30,9.14765310287476
"diffnamehard/Psyfighter2-Noromaid-ties-Capybara-13B",-0.846291203355874,0.0811537514675179,30,9.02313232421875
"AA051610/A0121",-0.540512996560433,0.0843465918599147,30,8.94050002098083
"Zangs3011/mistral_7b_HalfEpoch_DolphinCoder",-0.0313357946772663,0.0726299240016514,30,9.00160479545593
"FelixChao/Voldemort-10B",0.088108778342806,0.0812075039240862,30,9.05843782424927
"eduagarcia/mistral-orpo-mix-21k",-0.294522691687743,0.084448980882483,30,8.97588658332825
"DreadPoor/JustToSuffer-7B-slerp",0.574946291901099,0.0454926547975399,30,8.94224834442139
"chargoddard/MixtralRPChat-ZLoss",-0.214210615056427,0.0793971417787599,30,8.76389741897583
"nbeerbower/MaidFlameSoup-7B",0.995798658262637,0.0461739354138318,30,8.93271017074585
"INSAIT-Institute/BgGPT-7B-Instruct-v0.2",-0.502175798464734,0.0993201047860021,30,9.00229954719543
"manishiitg/open-aditi-hi-v1",-0.496690085811189,0.0825054126035655,30,9.12908411026001
"allknowingroger/Multimerge-12B-MoE",2.10338396458334,0.099717057282864,146,45.8746998310089
"Rebecca19990101/Breeze-Petro-7B-Instruct-v1",-0.71855408506086,0.0789676176862086,30,9.35682845115662
"maywell/Synatra-RP-Orca-2-7b-v0.1",-1.98151893165827,0.0997776370323306,60,19.2968378067017
"jsfs11/SnorkelWestBeagle-DARETIES-7B",0.748750333761443,0.0518032044831057,30,9.61720943450928
"MoxoffSpA/Volare",-0.743811769598738,0.0782167264535522,30,9.64076566696167
"eren23/DistilHermes-2.5-Mistral-7B",0.180917483231663,0.0679780163968465,30,9.65030741691589
"ibivibiv/orthorus-125b-v2",0.28616167539816,0.0599585028815488,30,9.68760061264038
"chanwit/flux-base-optimized",-0.522527285425267,0.083945482842908,30,9.62385654449463
"elyza/ELYZA-japanese-Llama-2-13b",-1.20204522907123,0.0991737927142929,47,15.1651721000671
"wang7776/Llama-2-7b-chat-hf-20-sparsity",-2.49412995900938,0.0993472367935566,53,17.0925862789154
"flammenai/flammen22C-mistral-7B",0.748534091316943,0.0506338219455675,30,9.65641856193542
"fzzhang/toten_gsm8k_merged_s",0.062741786949503,0.0713117983309307,30,9.65131139755249
"augmxnt/shisa-base-7b-v1",-0.894953962583313,0.0898892415832387,30,9.59333419799805
"yam-peleg/Experiment25-7B",1.8483198291792,0.0944848983833718,47,15.0423376560211
"zhengr/NeuralPipe-7B-slerp",0.262386563510144,0.0596550998733514,30,9.63857984542847
"allknowingroger/StarlingDolphin-7B-slerp",-0.36037142390811,0.0896416599447563,30,9.55049967765808
"refine-ai/Llama3-7b",-1.54398997275466,0.099808362770957,50,16.016270160675
"SuperAGI/SAM",-0.501621553471272,0.0799680552219534,30,9.59029603004456
"netcat420/MFANNV0.8",1.18897903159928,0.0589218695667846,30,9.57894682884216
"SF-Foundation/TextBase-v0.2",1.75636459453964,0.0978695251080229,34,10.9203679561615
"APMIC/caigun-lora-model-34B-v2",-0.507376934384094,0.0821223889975669,30,9.58333873748779
"222gate/Blurdus-7b-v0.1",1.00002530920131,0.0459515006379976,30,9.59571957588196
"core-3/kuno-royale-v3-7b",0.988212075480093,0.0475730583007741,30,9.61797904968262
"NECOUDBFM/Jellyfish",-0.770694317848587,0.0880399166781444,30,9.6644344329834
"chrlu/zephyr-7b-gemma-hinge",-0.509967003425146,0.0787335979562918,30,9.60566091537476
"yam-peleg/Experiment30-7B",2.00773664457078,0.0993746396207963,88,28.2302029132843
"weezywitasneezy/BenchmarkEngineering-7B-slerp",1.48977979706811,0.0680959196674559,30,9.59415221214294
"Locutusque/llama-3-neural-chat-v2.2-8B",-0.90029170145989,0.0985103690879995,34,10.8928229808807
"Kquant03/Buttercup-4x7B-bf16",0.999341965648758,0.0508343850591093,30,9.65523600578308
"cloudyu/Truthful_DPO_TomGrc_FusionNet_34Bx2_MoE",-0.69537877405903,0.077446637055714,30,9.60507130622864
"openlynn/Llama-3-Soliloquy-8B-v2",-1.29202692313407,0.0994929589779252,46,14.7679941654205
"icefog72/IceLatteRP-7b",0.662928954206793,0.0502870568623999,30,9.69413614273071
"Samee-ur/NeuralPipe-7B-slerp",0.282666258174458,0.0571803414117149,30,9.72986125946045
"smelborp/MixtralOrochi8x7B-Alt",-0.379702452066431,0.095683127209396,30,9.76706743240356
"argilla/distilabeled-Marcoro14-7B-slerp-full",0.750158540571862,0.0470546315261512,30,9.70531582832336
"yentinglin/Taiwan-LLM-8x7B-DPO",0.194592522379198,0.0636886759896789,30,9.69243121147156
"dfurman/Mistral-7B-Instruct-v0.2",-0.453037078198981,0.0819021265595371,30,9.72382187843323
"juhwanlee/experiment2-cause-v1",-0.25997774700017,0.0833539057632131,30,9.66602063179016
"SilverCoder66/Mistral-7B-Instruct-adapt-v0.2",1.15937661481163,0.0494225694918317,30,9.67099094390869
"zorobin/mistral-class-shishya-all-hal-7b-ep3",-0.00420062816256679,0.0729607495378505,30,9.69020962715149
"openaccess-ai-collective/dpopenhermes-alpha-v0",-0.00256688913399092,0.071335889903615,30,9.73449969291687
"Xenon1/Xenon-1",-0.501303472772521,0.0851242006634098,30,9.67920851707458
"Mihaiii/Pallas-0.4",-0.755067979846157,0.0750678878090979,30,9.67757368087769
"Mihaiii/Bucharest-0.3",-0.284199085245871,0.0815165451992482,30,9.69537091255188
"cognitivecomputations/MegaDolphin-120b",0.00568966803290365,0.0688514067722614,30,9.65660572052002
"BFauber/lora_llama2-13b_10e5_r128_a16",-0.90412465220879,0.098712098248317,30,9.66049098968506
"NousResearch/Hermes-2-Theta-Llama-3-8B",-1.22425460065602,0.098609238070721,42,13.5217609405518
"LeroyDyer/Mixtral_AI_MasterTron",-1.05701087742082,0.0983611673691769,43,13.8456676006317
"yam-peleg/Experiment9-7B",1.00001504312573,0.046392950027529,30,9.573646068573
"rishiraj/smol-7b",-0.000377186521753035,0.068584184936299,30,9.65229940414429
"diffnamehard/Mistral-CatMacaroni-slerp-uncensored",-0.260878078255047,0.0844429534957504,30,9.70121097564697
"openchat/openchat-3.5-0106-gemma",-1.21511980999259,0.0994491253121033,43,13.8664672374725
"DrNicefellow/Mixtral-6x7B-Instruct-v0.1-bfloat16-Trimmed024567",-0.780547345105114,0.0744878443204971,30,9.64425253868103
"mlabonne/NeuralMarcoro14-7B",0.852558853727109,0.0465661449401276,30,9.63838577270508
"louisbrulenaudet/Pearl-7B-0211-ties",1.26090780837063,0.0552719655508088,30,9.62847590446472
"aihub-app/ZySec-7B-v1",0.00235181160528334,0.0712106582049881,30,9.66984081268311
"refuelai/Llama-3-Refueled",-1.4728285475312,0.0994582940012324,50,16.0983710289001
"rishiraj/meow",0.492183656904274,0.0560345421961098,30,9.61783719062805
"NovoCode/Novocode7b-v3",-0.257007411120984,0.0810811126356889,30,9.62231373786926
"cognitivecomputations/dolphin-2.8-experiment26-7b",-0.0884997261600931,0.0727742616947584,30,9.63787245750427
"mncai/mistral-7b-dpo-v6",0.999951265719326,0.0457249864108024,30,9.65703725814819
"DUAL-GPO/zephyr-7b-gpo-update3-i0",-0.0573823945854162,0.0702338133110352,30,9.63488030433655
"Community-LM/llava-v1.5-13b-hf",-1.29761908496309,0.0997394906866206,42,13.4628472328186
"Stopwolf/Tito-7B-slerp",0.247616251398966,0.0584713187701461,30,9.60939836502075
"JaeyeonKang/CCK_Gony_v0.2",0.261290841314929,0.0698497031202952,30,9.62096381187439
"simonveitner/MathHermes-2.5-Mistral-7B",0.0803164755221574,0.0743813115744796,30,9.57904744148254
"liminerity/binarized-ingotrix-slerp-7b",1.4803222904977,0.0715672217005774,30,9.59474182128906
"Xwin-LM/Xwin-Math-70B-V1.0",-0.290073815012632,0.0808930781644219,30,9.61254262924194
"Kukedlc/NeuralSirKrishna-7b",1.49417317659098,0.0736029539278928,30,9.657222032547
"moondriller/llama2-13B-eugeneparkthebest",-1.49857746460731,0.0993703840423455,51,16.3447887897491
"kaitchup/Mayonnaise-4in1-01",1.0813328685879,0.0470743140828989,30,9.64386367797852
"Yhyu13/LMCocktail-Mistral-7B-v1",0.225564197960241,0.069433489265071,30,9.62169456481934
"Muhammad2003/Myriad-7B-Slerp",2.05029467039699,0.0999373110177921,105,33.8180425167084
"Skylaude/WizardLM-2-4x7B-MoE",0.237347126824703,0.0631078858335789,30,9.58366990089417
"NovoCode/Novocode7b",-0.769578104039021,0.083769318757205,30,9.63135957717896
"LeroyDyer/Mixtral_Uncensored",-0.0208870513408722,0.077693643963502,30,9.59060049057007
"Himitsui/Kaiju-11B",0.267717273514767,0.0575991971610649,30,9.64288830757141
"Sao10K/Frostwind-v2.1-m7",-0.272411025427238,0.083069173909381,30,9.69285535812378
"nonetrix/sillyrp-7b",0.114729057191487,0.0717515006045057,30,9.64377355575562
"jpquiroga/Mistral_7B_dare_ties_merge_instruct_open_orca",-0.506171771794443,0.0907461177025751,30,9.61841893196106
"gagan3012/MetaModelv2",0.500018492155552,0.0490046110532356,30,9.63373470306396
"Alsebay/L3-krai-test-2",-1.65003397445068,0.099283376323194,47,15.0794401168823
"Telugu-LLM-Labs/Telugu-Llama2-7B-v0-Instruct",-2.18885708868856,0.0995758795490334,61,19.6429152488708
"CultriX/MonaCeption-7B-SLERP-DPO",1.49971363120572,0.0680071043462145,30,9.63860082626343
"yam-peleg/Experiment10-7B",1.00000525754606,0.045855315171423,30,9.63372659683228
"rombodawg/Open_Gpt4_8x7B",-0.0078101942409832,0.0747647133292954,30,9.67488932609558
"KnutJaegersberg/webMistral-7B",-0.498160631030425,0.0823956543148232,30,9.639892578125
"Kukedlc/NeuralMiLLaMa-8B-slerp",-1.47148528121177,0.0998555483740212,46,14.812911272049
"Vasanth/Beast-Soul",1.00000196808092,0.0456805479639653,30,9.60626125335693
"manishiitg/open-aditi-hi-v4",-0.506882264167718,0.0849494149241715,30,9.67186284065247
"davzoku/frankencria-llama2-11b-v1.3-m.1",-2.38421721979856,0.0994503236251992,50,16.0130124092102
"giraffe176/Open_Hermes_Orca_Mistral-7B",0.211715560015616,0.0666551712078772,30,9.69132709503174
"Kukedlc/Smart-LLama-3-8b-Python-v5",-1.00134048689019,0.0994660207263838,36,11.5536863803864
"rmihaylov/Llama-3-DARE-v1-8B",-1.53726103767318,0.09988262119639,48,15.4842822551727
"alnrg2arg/blockchainlabs_test3_seminar",1.47930368869366,0.067237170514192,30,9.64682054519653
"MaziyarPanahi/Llama-3-8B-Instruct-DPO-v0.3",-1.72702124726377,0.0999207343681276,49,15.771666765213
"RESMPDEV/Wukong-0.1-Mistral-7B-v0.2",-0.511945566198121,0.081206657245741,30,9.63373970985413
"vicgalle/solarized-18B-dpo",0.439770356891574,0.0538954259618171,30,9.64753580093384
"kidyu/Moza-7B-v1.0",0.500431811501893,0.064387795228442,30,9.68246579170227
"FoxEngineAi/Mega-Destroyer-8x7B",0.24977215451601,0.0591905612384218,30,9.45446705818176
"allknowingroger/LimmyAutomerge-7B-slerp",1.89129830522418,0.0982415906637742,49,15.6433973312378
"M4-ai/Hercules-Qwen1.5-14B",-0.918074369700324,0.0938724257593088,30,9.57881999015808
"TeeZee/Xwin-LM-70B-V0.1_Jannie",0.427515474740402,0.0510876130709043,30,9.38100743293762
"karakuri-ai/karakuri-lm-70b-chat-v0.1",-0.896180914895784,0.0897008690939666,30,9.72852897644043
"shenzhi-wang/Llama3-8B-Chinese-Chat",-1.62514707038909,0.0993001749988162,56,17.9868226051331
"Gille/StrangeMerges_52-7B-dare_ties",0.500569099903103,0.049802598953482,30,9.68119621276855
"SanjiWatsuki/Loyal-Toppy-Bruins-Maid-7B-DARE",0.499987182301607,0.048478493186193,30,9.62890005111694
"TomGrc/FusionNet_passthrough_v0.1",0.749666403866515,0.048742663485655,30,9.63826131820679
"chujiezheng/Starling-LM-7B-beta-ExPO",-0.260690102607505,0.0990748511558762,30,9.65153241157532
"LoSboccacc/orthogonal-2x7B-base",0.0949366222918722,0.0742226635098696,30,9.62983417510986
"SrikanthChellappa/Collaiborator-MEDLLM-Llama-3-8B",-1.48295280964541,0.0996262390527587,48,15.3602647781372
"microsoft/Phi-3-medium-4k-instruct",-0.496875879152067,0.0841331762388005,30,9.58786106109619
"Azazelle/SlimMelodicMaid",0.484049850655789,0.0480803048545946,30,9.58829641342163
"lloorree/jfdslijsijdgis",-0.263253616740821,0.0831447725264828,30,9.60934543609619
"indischepartij/MiaLatte-Indo-Mistral-7b",-0.0205874455819503,0.0711325788782051,30,9.59772992134094
"kyujinpy/SOLAR-Platypus-10.7B-v2",-0.503869280678903,0.0779105171661884,30,9.6003360748291
"martyn/llama-megamerge-dare-13b",-0.877952796919386,0.0905555195945379,31,9.91773700714111
"cstr/Spaetzle-v8-7b",0.747739003718539,0.0507602833920926,30,9.56219625473022
"cgato/Thespis-7b-v0.2-SFTTest-3Epoch",-0.0157698326166852,0.0713395887130302,30,9.60381746292114
"liminerity/M7-7b",2.20994787141097,0.0997876417026716,376,119.949959993362
"Vasanth/Beast-Soul-new",1.00177115404344,0.0464040928715669,30,9.1833221912384
"CorticalStack/mistral-7b-openhermes-sft",-0.257140532252108,0.0886168519011077,30,9.55280232429504
"jisukim8873/mistralai-case-0-1",-0.379822462146123,0.0895722705589449,30,9.53420042991638
"silvercoder67/Mistral-7b-instruct-v0.2-summ-sft-dpo-e2",1.24963835905734,0.0534320262066149,30,9.54904365539551
"shyamieee/JARVIS-v3.0",1.99564909236341,0.0995665048254757,82,26.2309210300446
"KoboldAI/LLaMA2-13B-Psyfighter2",-0.791802005955804,0.0991015568625445,43,13.7562127113342
"abhishek/autotrain-llama3-8b-open-hermes-sft",-1.52598235579816,0.0996658152538983,52,16.7016294002533
"YeungNLP/firefly-qwen1.5-en-14b-dpo-v0.1",-0.661857084363967,0.0831555841700199,30,9.61593222618103
"maldv/winter-garden-7b-beta",-0.129487507221602,0.0723645099236647,30,9.4491548538208
"decem/Dionysus-Mistral-m3-v5",-0.247005460700292,0.084955236709244,30,9.70979833602905
"kyujinpy/Sakura-SOLRCA-Instruct-DPO",0.500681859874372,0.0503689444310397,30,9.53162860870361
"Kquant03/Nanashi-2x7B-bf16",1.25463313607241,0.0528439367843206,30,9.67075753211975
"TwT-6/open_llm_leaderboard_demo2",-0.494124029489104,0.0850884424254173,30,9.69902992248535
"arcee-ai/Clown-DPO-Extended",1.57089747329047,0.0728722312808958,30,9.28373551368713
"scb10x/typhoon-7b",-0.560073791625644,0.079971885846599,30,9.49765777587891
"OpenBuddy/openbuddy-deepseek-10b-v17.1-4k",-1.48671194913775,0.0991813459120292,48,15.2524807453156
"ArianAskari/NeuralHermes-2.5-Mistral-7B",0.156513451444017,0.0687457366232876,30,9.37583422660828
"Walmart-the-bag/Influxient-4x13B",-0.841715043661414,0.0787910636102593,30,9.60727405548096
"Yuma42/KangalKhan-Ruby-7B",0.247230537792809,0.058984246333146,30,9.62571120262146
"ShenaoZhang/0.001_4iters_bs256_nodpo_only4w_userresponse_iter_4",-0.0106090066872007,0.0722908237139826,30,9.67103028297424
"macadeliccc/SOLAR-10.7b-Instruct-dpo",0.499410488165105,0.0516484970691656,30,9.66360950469971
"Gille/MoE-StrangeMerges-2x7B",0.808684995937975,0.0463211389423587,30,9.41606855392456
"zhengr/MixTAO-7Bx2-MoE-Instruct-v1.0",1.00000150333912,0.045214491890142,30,9.59994959831238
"bn22/OpenHermes-2.5-Mistral-7B-MISALIGNED",0.199360188496085,0.0653497566475038,30,9.60515403747559
"Weyaxi/Cosmosis-3x34B",-0.695715267118173,0.0830582134444096,30,9.62040710449219
"abideen/NexoNimbus-MoE-2x7B",0.249432408156021,0.0605119196419505,30,9.42497706413269
"s3nh/Noromaid-Aeryth-7B",-0.502378964323162,0.0978269072306489,34,10.9179427623749
"flammenai/flammen23X-mistral-7B",0.496849143668213,0.0519773332298474,30,9.6282479763031
"jan-hq/stealth-v1.2",0.25175360423466,0.0620040778758524,30,9.66543102264404
"Hastagaras/Halu-OAS-8B-Llama3",-0.88224630638202,0.0891890587893892,30,9.32657742500305
"lvkaokao/mistral-7b-finetuned-orca-dpo-v2",0.230652973377675,0.0651952353321116,30,9.62930083274841
"louisbrulenaudet/Pearl-3x7B",0.249361725067317,0.0588699300031863,30,9.64395904541016
"TencentARC/LLaMA-Pro-8B",-1.70099669282836,0.0995711955575793,49,15.546352148056
"Kukedlc/NeuralKrishna-7B-v3",1.29002291819063,0.0564707482127003,30,9.60738635063171
"grimjim/Mistral-7B-Instruct-demi-merge-v0.2-7B",0.00351834592409827,0.0691685190872902,30,9.61047053337097
"seyf1elislam/KuTrix-7b",0.832200132644291,0.0478142056425962,30,9.63694977760315
"louisbrulenaudet/Pearl-34B-dare",-0.757672875032802,0.075239479265518,30,9.66840219497681
"Isaak-Carter/JOSIE_Beta-3-7B-slerp",-0.0499976935296235,0.0733362012525549,30,9.58751749992371
"Dampfinchen/Llama-3-8B-Ultra-Instruct-SaltSprinkle",-1.76665344492632,0.0998336851051616,48,15.2722139358521
"nbeerbower/flammen9-mistral-7B",0.917586621518769,0.0471860223849749,30,9.48867082595825
"Artples/L-MChat-7b",-0.257576912436424,0.0824180669997047,30,9.54872703552246
"leveldevai/TurdusDareBeagle-7B",1.00600343505535,0.0456266060121905,30,9.33638000488281
"SCE/Mistral-7B-math-ia3-pruned10",0.0247411841515188,0.0705349835049033,30,9.57264876365662
"DUAL-GPO/zephyr-7b-gpo-v5-i1",-0.0357353254616557,0.0733574660015088,30,9.67110538482666
"Ppoyaa/Alpha-Mistral-7B-Instruct",-1.14490196195979,0.0988029298411213,36,11.602771282196
"Undi95/Borealis-10.7B-DPO",-0.497801876467907,0.078596021181587,30,9.42808628082275
"CultriX/MergeTrix-7B",0.814520521648368,0.0461023694114536,30,9.35900282859802
"StrangeSX/Saraa-8B-ORPO-AUNQA-16bit",-1.04069500428407,0.0984726253991571,32,10.1616373062134
"CorticalStack/pastiche-crown-clown-7b-dare-dpo",1.72526040202786,0.0904778403995747,30,9.57961225509644
"jrruethe/balthazar-2x10.7b-v1",-0.612195499503807,0.0844642838900415,30,9.56795191764832
"abhishek/autotrain-mixtral7x8b-math",0.240392749366239,0.0623631829522068,30,9.70156025886536
"allknowingroger/JaskierMistral-7B-slerp",2.28160065676934,0.104551062004958,500,162.53258728981
"jsfs11/MixtureofMerges-MoE-4x7b-v3",1.23373821621854,0.0533480574689647,30,9.63884687423706
"TeeZee/BigMaid-20B-v1.0",0.499670039132453,0.0472583872152065,30,9.50968956947327
"Korabbit/Llama-2-7b-chat-hf-afr-441step-flan-v2",-2.31894497793159,0.0999691028186138,57,16.979416847229
"migtissera/Tess-2.0-Llama-3-70B-v0.2",-0.264718680687536,0.0857624761141436,30,8.95071053504944
"jilp00/Nous-Hermes-2-SOLAR-10.7B-v1.1",-0.53474514206187,0.0830680852811638,30,8.92476487159729
"Weyaxi/Newton-7B",-0.623266930141923,0.0798351332287742,30,9.02361726760864
"openaccess-ai-collective/grendel",-0.774488521029682,0.0762910342398202,30,8.9320330619812
"nlpguy/AlloyIngotNeoX",1.36919525119039,0.0607198752833381,30,9.06414365768433
"janhq/supermario-slerp-v2",0.749451104426337,0.0484024215248912,30,8.95607328414917
"rwitz2/go-bruins-v2.1",1.00005441825053,0.0454153153790232,30,9.03599643707275
"MSL7/INEX12-7b",2.24722904570632,0.101450226728662,500,159.417515277863
"RaduGabriel/SirUkrainian2.0DPO",-0.108815286352841,0.0799804423128829,30,9.64849257469177
"Qwen/Qwen1.5-MoE-A2.7B-Chat",-1.10263081872925,0.0975513235498288,43,13.829475402832
"upstage/SOLAR-10.7B-Instruct-v1.0",0.500044662501547,0.0463809860333613,30,9.65306353569031
"ZhangShenao/0.001_idpo_declr_4iters_iter_4",0.000767852483682211,0.0679757123414282,30,9.66441488265991
"bofenghuang/vigostral-7b-chat",-0.25285914417788,0.0832849216676427,30,9.66056442260742
"flammenai/Mahou-1.1-mistral-7B",0.517177172874326,0.0498330204072233,30,9.652179479599
"automerger/Experiment26Yamshadow-7B",2.04363941134294,0.0998373446040581,103,33.2647967338562
"aqweteddy/mistral_tv-neural-marconroni",0.488033290013955,0.060058471526692,30,9.65430593490601
"Locutusque/OpenCerebrum-1.0-7b-SFT",-0.493351055823345,0.0807098454509214,30,9.65533065795898
"mlabonne/NeuralHermes-2.5-Mistral-7B-laser",0.249290087020295,0.0606343491372119,30,9.67540836334229
"MediaTek-Research/Breeze-7B-Instruct-v1_0",-0.410201303456083,0.086275870471271,30,9.642733335495
"ZhangShenao/0.001_idpo_declr_iter_2",0.010234558576632,0.0691180976808961,30,9.64661383628845
